Name,Brand,Condition,ROM,Warranty,Min_Price ($),Max_Price ($),Shipment_Cost ($),Sold_Count
Google Pixel Fold 7 6 Obsidian Black,Google,Excellent - Refurbished,256GB,0,332.99,332.99,0,1037
Apple iPhone 13 Used Good,Apple,Pre-Owned,512GB,0,244.99,274.99,0,448
Apple iPhone 14,Apple,Pre-Owned,128GB,0,259.99,324.99,0,601
Apple iPhone 12 Pro,Apple,Excellent - Refurbished,512GB,0,284.99,334.99,0,138
Samsung Galaxy S23 Ultra S918U,Samsung,Excellent - Refurbished,512GB,0,426.99,426.99,0,112
Apple iPhone 15 Pro Max A2849,Apple,Very Good - Refurbished,256GB,0,526.99,526.99,0,7920
Samsung Galaxy S23 Ultra S918U,Samsung,Very Good - Refurbished,512GB,0,404.99,404.99,0,129
Samsung Galaxy S21 Plus S21 SM G996U,Samsung,Very Good - Refurbished,128GB,0,147.99,179.95,0,58
Apple iPhone 14 Network,Apple,Very Good - Refurbished,128GB,0,294.5,294.5,0,8411
Samsung Galaxy S24 Ultra S928U,Samsung,Excellent - Refurbished,256GB,0,545.99,545.99,0,321
Apple iPhone 15 Pro A2848,Apple,Very Good - Refurbished,128GB,0,430.99,430.99,0,917
Apple iPhone 15 Pro A2848,Apple,Very Good - Refurbished,256GB,0,491.43,491.43,0,2038
Apple iPhone 5 AT&T Sprint A1429,Apple,Pre-Owned,64GB,0,37.99,39.99,0,1375
Apple iPhone 13 Mini,Apple,Excellent - Refurbished,512GB,0,279.99,329.99,0,66
Apple iPhone SE 3rd Gen 2022,Apple,Excellent - Refurbished,256GB,0,159.99,209.99,0,119
Apple IPhone 11 A2111 Verizon AT&T T Mobile All carriers,Apple,Pre-Owned,64GB,1 YEAR WARRANTY,159.89,169.89,0,304
Samsung Galaxy S24 Ultra S928U Open Box,Samsung,Open Box,512GB,0,609.99,609.99,0,148
New Sealed Samsung Galaxy S21 Ultra SM G998U,Samsung,Brand New,128GB,0,259.49,316.77,0,38
Samsung Galaxy S23 Ultra S918U Good,Samsung,Good - Refurbished,256GB,0,362.99,362.99,0,367
Apple iPhone 4 AT&T Verizon A1332 A1349,Apple,Pre-Owned,32GB,0,31.99,37.99,0,526
Apple iPhone 13 Pro Good,Apple,Good - Refurbished,512GB,0,362.33,408.58,0,144
Apple iPhone 14 Pro Max Network,Apple,Very Good - Refurbished,128GB,0,460.26,460.26,0,6761
Apple iPhone 15 Pro A2848,Apple,Excellent - Refurbished,128GB,0,463.99,463.99,0,486
FOXXD A551 Blue 5 5 RAM Android Smartphone,,Brand New,,0,29.99,29.99,0,217
Samsung Galaxy S23 Ultra S918U,Samsung,Very Good - Refurbished,256GB,0,380.99,380.99,0,591
Samsung Galaxy S24 Ultra S928U,Samsung,Very Good - Refurbished,512GB,0,570.99,570.99,0,235
New Samsung Galaxy S23 Ultra SM S918U,Samsung,Brand New,256GB,0,435.88,444.88,0,0
Apple iPhone 14 Pro Max,Apple,Excellent - Refurbished,512GB,0,443.88,443.88,0,42
Apple iPhone 12 Mini,Apple,Excellent - Refurbished,256GB,0,209.99,229.99,0,0
Apple iPhone 14,Apple,Pre-Owned,128GB,0,284.99,349.99,0,612
Apple iPhone 13 Used,Apple,Pre-Owned,512GB,0,259.99,339.99,0,73
Apple iPhone 13 Midnight Blue Pink Free Shi,Apple,Pre-Owned,,0,223,381,0,0
NEW SEALED SAMSUNG GALAXY S23 ULTRA S22 ULTRA CDMA,Samsung,Brand New,,0,175,532,0,44
Apple iPhone 14 Pro Good,Apple,Good - Refurbished,512GB,0,424.83,504.83,0,175
Samsung Galaxy S22 SM S901U1,Samsung,Very Good - Refurbished,128GB,0,156.99,179.95,0,301
NEW SAMSUNG GALAXY S23 PLUS SM S916U AND CDMA,Samsung,Brand New,,0,377.77,377.77,0,358
Apple iPhone 13 A2482 Network,Apple,Very Good - Refurbished,128GB,0,259.99,259.99,0,10080
Samsung Galaxy S23 S911U Good,Samsung,Good - Refurbished,128GB,0,209.99,209.99,0,941
Apple iPhone 13 Pro 128 256 Used,Apple,Pre-Owned,512GB,0,349.99,454.99,0,0
Apple iPhone 14 Pro,Apple,Excellent - Refurbished,512GB,0,444.99,484.99,0,79
Apple iPhone 15 Pro Max A2849,Apple,Excellent - Refurbished,256GB,0,572.99,572.99,0,1616
45w Type USB C Super Fast Wall Charger 6FT Cable For Samsung Galaxy S23 S22 S21D,,Brand New,,0,1.59,1.59,0,0
Samsung Galaxy S23 Ultra S918U,Samsung,Excellent - Refurbished,256GB,0,398.99,398.99,0,481
NEW SEALED Samsung Galaxy S23 Ultra SM S918U,Samsung,Brand New,256GB,0,429.99,429.99,0,0
Apple iPhone 15 Pro Max A2849,Apple,Very Good - Refurbished,512GB,0,598.16,598.16,0,1277
Samsung Galaxy Z TriFold Crafted Black SM F9680 USA STOCK,Samsung,Brand New,512GB,0,3999,3999,0,64
NEW SEALED Samsung Galaxy S23 Ultra SM S918U,Samsung,Brand New,256GB,0,445.89,518.29,0,0
Apple iPhone 15 A2846,Apple,Very Good - Refurbished,128GB,0,372.99,372.99,0,1863
Smartphone Android,,Pre-Owned,,0,28.49,28.49,0,1605
Samsung Galaxy S22 SM S901U1 Good,Samsung,Good - Refurbished,128GB,0,142.99,169.95,0,0
Samsung Galaxy S22 S901U,Samsung,Very Good - Refurbished,128GB,0,171.99,171.99,0,646
Apple iPhone 16 AT&T T Mobile Verizon,Apple,Excellent - Refurbished,256GB,1 YEAR WARRANTY,621.95,621.95,0,77
Samsung Galaxy S23 S911U,Samsung,Very Good - Refurbished,128GB,0,228.99,228.99,0,786
Apple iPhone 15 Plus,Apple,Very Good - Refurbished,128GB,0,371.52,371.52,0,1038
New in Sealed Box Apple iPhone SE3 3rd gen 2022 A2595 USA Smartphone,Apple,Brand New,,0,244.99,329.99,0,0
NEW SEALED Samsung Galaxy S23 Ultra SM S918U,Samsung,Brand New,256GB,0,445.55,519.55,0,50
Samsung Galaxy S22 Ultra S908U,Samsung,Very Good - Refurbished,256GB,0,304.99,304.99,0,680
New Samsung Galaxy S22 Ultra SM S908U,Samsung,Brand New,512GB,0,279.89,349.99,0,0
Samsung Galaxy S23,Samsung,Excellent - Refurbished,256GB,0,269.99,309.99,0,63
Apple iPhone 14 Plus Various Color,Apple,Pre-Owned,128GB,0,250,389,0,0
Samsung Galaxy S23,Samsung,Excellent - Refurbished,256GB,0,269.99,309.99,0,63
Apple iPhone 14 Plus Various Color,Apple,Pre-Owned,128GB,0,250,389,0,0
Apple iPhone 14 Black Verizon AT&T T Mobile,Apple,Pre-Owned,128GB,0,279.89,279.89,0,217
Apple iPhone 13 Mini Used,Apple,Pre-Owned,512GB,0,279.99,329.99,0,0
Apple iPhone 14,Apple,Very Good - Refurbished,128GB,1 YEAR WARRANTY,289.99,289.99,0,876
Samsung Galaxy S24 Ultra S928U,Samsung,Excellent - Refurbished,512GB,0,597.99,597.99,0,92
Samsung Galaxy S22 Ultra S908U,Samsung,Very Good - Refurbished,128GB,0,271.99,271.99,0,2242
New Samsung Galaxy S22 Ultra SM S908U CDMA,Samsung,Brand New,128GB,0,281.44,357.74,0,95
🔥 NEW Apple iPhone 16E 2025 🔓 100%🔋 A3212,Apple,Open Box,128GB,0,469.95,469.95,0,32
Apple iPhone 16 Pro,Apple,Very Good - Refurbished,1TB,1 Year Warranty,769,769,0,12
Apple iPhone 14 Good,Apple,Good - Refurbished,512GB,0,316.08,357.33,0,87
NEW SAMSUNG GALAXY S23 ULTRA SM S918U AND CDMA,Samsung,Brand New,,0,444.88,444.88,0,198
Samsung Galaxy S22 S901U Good,Samsung,Good - Refurbished,128GB,0,152.99,152.99,0,421
Apple iPhone 13 Pro 128 256 Used,Apple,Pre-Owned,512GB,0,319.99,394.99,0,149
Apple iPhone 14 Pro Used,Apple,Pre-Owned,512GB,0,389.99,514.99,0,84
Google Pixel 7a 7 7 Pro Smartphone,Google,Very Good - Refurbished,128GB,0,170.95,261.2,0,0
65W PD Fast Wall Charger 3FT Type C Cable For Samsung Galaxy S23 S22 S21 NOTE 20,,Brand New,,0,1.88,1.88,0,0
Apple iPhone 15 Pro AT&T T Mobile Verizon,Apple,Very Good - Refurbished,512GB,1 YEAR WARRANTY,522.95,522.95,0,99
